CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Oeste;28076587;EEI-CN;MONTE ABANTOS  (PROGRAMA CN);Calle Calvario, 43 ;San Lorenzo de El Escorial;-;28200;918901720;918901720;Público;
Madrid-Norte;28047204;EEI-CN;MONTEJO DE LA SIERRA;Calle Del Soto, 1 ;Montejo de la Sierra;-;28190;918697177;918697150;Público;
Madrid-Oeste;28047940;EEI-CN;MORALZARZAL;Camino De Alpedrete, 2 ;Moralzarzal;-;28411;918578421;-;Público;
Madrid-Este;28047952;EEI-CN;MORATA DE TAJUÑA  Nº 1;Plaza De Claudio Vázquez, S/n ;Morata de Tajuña;-;28530;918731990;-;Público;
Madrid-Este;28049833;EEI-CN;MORATA DE TAJUÑA  Nº 2;Calle Del Grupo Escolar, 1 ;Morata de Tajuña;-;28530;918337775;-;Público;
Madrid-Oeste;28047964;EEI-CN;NAVACERRADA;Colonia Mata Del Rosal, 4 ;Navacerrada;-;28491;918560677;918560677;Público;
Madrid-Norte;28048713;EEI-CN;NAVALAFUENTE;Calle Santa Águeda, 14 ;Navalafuente;-;28729;918432661;918432589;Público;
Madrid-Oeste;28047216;EEI-CN;NAVALAGAMELLA;Calle La Cuesta, 10 ;Navalagamella;-;28212;918988472;-;Público;
Madrid-Capital;28056783;EEI-CN;NTRA. SRA. DE LA FUENCISLA;Calle De Tomelloso, 39 ;Madrid;Usera;28026;914752598;914752598;Público;
Madrid-Este;28047228;EEI-CN;NUEVO BAZTAN;Avenida Glasgow, S/n ;Nuevo Baztán;-;28514;918734057;-;Público;
Madrid-Sur;28057489;EEI-CN;PABLO PICASSO;Avenida Francisco Javier Sauquillo, 47 ;Fuenlabrada;-;28944;916902792;916902792;Público;
Madrid-Sur;28078158;EEI-CN;PARQUE COIMBRA (PROGRAMA CASA DE NIÑOS);Calle Del Cerezo, S/n ;Móstoles;-;28935;916475053;-;Público;
Madrid-Sur;28058809;EEI-CN;PASEMISI;Calle Del Espino, 6 ;Álamo, El;-;28607;918120053;-;Público;
Madrid-Norte;28048002;EEI-CN;PATONES;Avenida De Madrid, 82 ;Patones;-;28189;918432142;918432142;Público;
Madrid-Este;28047231;EEI-CN;PERALES DE TAJUÑA;Carretera De Morata, 7 ;Perales de Tajuña;-;28540;918748587;-;Público;
Madrid-Sur;28074724;EEI-CN;PETIRROJO (PROGRAMA DE CASA DE NIÑOS);Calle Antonio Machado, S/n ;Torrejón de la Calzada;-;28991;918160289;918160289;Público;
Madrid-Sur;28057507;EEI-CN;PILOCHA;Calle Ataúlfo Argenta, 3 ;Parla;-;28981;916991641;916991641;Público;
Madrid-Sur;28075169;EEI-CN;PIMPOLLITOS (PROGRAMA DE CASA DE NIÑOS);Calle Asturias, 91 ;Pinto;-;28320;916987971;916987971;Público;
Madrid-Sur;28068220;EEI-CN;PIMPON;Calle Miguel Indurain, S/n ;Brunete;-;28690;-;-;Público;
Madrid-Sur;28075340;EEI-CN;PLATERO Y YO  (PROGRAMA DE CASA DE NIÑOS);Calle De Jacinto Benavente, 15 ;Humanes de Madrid;-;28970;916048420;916048420;Público;
Madrid-Este;28048038;EEI-CN;POZUELO DEL REY;Plaza De Carlos Ruiz, 2 ;Pozuelo del Rey;-;28813;918735370;918735370;Público;
Madrid-Sur;28077440;EEI-CN;PRADO ALTO (PROGRAMA CASA DE NIÑOS);Calle Murillo, S/n ;Brunete;-;28690;918159827;918159827;Público;
Madrid-Este;28075789;EEI-CN;PUERTA DE MADRID (PROGRAMA DE CASA DE NIÑOS);Calle Juan De Vergara, 6 ;Alcalá de Henares;-;28802;918814128;918814128;Público;
Madrid-Oeste;28050185;EEI-CN;QUIJORNA;Calle Navalcarnero, 7 ;Quijorna;-;28693;918168095;918168095;Público;
Madrid-Norte;28047241;EEI-CN;RASCAFRIA;Calle De La Cuesta Del Chorro, 6 ;Rascafría;-;28740;918691533;918693448;Público;
Madrid-Norte;28048725;EEI-CN;REDUEÑA;Calle De Las Eras, S/n ;Redueña;-;28721;918438252;918439531;Público;
Madrid-Capital;28049183;EEI-CN;REPUBLICA DEL BRASIL;Avenida De Los Fueros, 34 ;Madrid;Usera;28041;914758106;914758106;Público;
Madrid-Oeste;28047681;EEI-CN;RINCON FLORIDO;Carretera De Los Molinos, 5 ;Cercedilla;-;28470;918523940;918523940;Público;
Madrid-Norte;28075261;EEI-CN;RIO DE ALISOS (PROGRAMA DE CASA DE NIÑOS);Calle Del Manzanares, 13 ;Guadalix de la Sierra;-;28794;918472867;918472867;Público;
Madrid-Este;28073136;EEI-CN;RIO TAJUÑA;Calle Río Tajuña, 23dup ;Ambite;-;28580;918722093;-;Público;
Madrid-Sur;28075868;EEI-CN;ROSA CARAMELO (PROGRAMA DE CASA DE NIÑOS);Calle De Gabriela Mistral, 8 ;Leganés;-;28919;912282203;912282203;Público;
Madrid-Capital;28049961;EEI-CN;SAN MIGUEL;Avenida De La Virgen Del Carmen, 32 ;Madrid;Hortaleza;28033;913820145;913820145;Público;
Madrid-Norte;28064603;EEI-CN;SANTA CECILIA (PROGRAMA DE CASA DE NIÑOS);Avenida De La Constitución, 2 ;Molar, El;-;28710;918411182;918411182;Público;
Madrid-Este;28077233;EEI-CN;SANTIAGO APOSTOL ( PROGRAMA CASA DE NIÑOS);Calle Santiago Apóstol, 1 ;Paracuellos de Jarama;-;28860;912687765;-;Público;
Madrid-Este;28060661;EEI-CN;SIETE ESTRELLAS;Calle Mayor, 29 ;Brea de Tajo;-;28596;673657564;-;Público;
Madrid-Sur;28047101;EEI-CN;SOL Y LUNA;Calle Marqués De Villanueva De La Sagra, 1 ;Chapinería;-;28694;918652521;918652521;Público;
Madrid-Sur;28057568;EEI-CN;SOL Y LUNA;Calle De La Luna, S/n ;Alcorcón;-;28922;692812763;916434842;Público;
Madrid-Sur;28070317;EEI-CN;SOL Y LUNA;Calle Retamar, S/n ;Cubas de la Sagra;-;28978;918142805;-;Público;
Madrid-Norte;28048087;EEI-CN;TALAMANCA DE JARAMA;Calle Almazara, 22 ;Talamanca de Jarama;-;28160;918417517;-;Público;
Madrid-Este;28048099;EEI-CN;TIELMES;Calle De La Pérdiz, 6 ;Tielmes;-;28550;918746117;-;Público;
Madrid-Sur;28048105;EEI-CN;TITULCIA;Calle Grande, 36 ;Titulcia;-;28359;918010204;918010489;Público;
Madrid-Norte;28069871;EEI-CN;TORRELAGUNA (PROGRAMA DE CASA DE NIÑOS);Calle De Fray José De Almonacid, 13 ;Torrelaguna;-;28180;918430904;918430904;Público;
Madrid-Norte;28047289;EEI-CN;TORREMOCHA DE JARAMA;Plaza De Manuel Sanz Huerta, 1 ;Torremocha de Jarama;-;28189;918430969;918430969;Público;
Madrid-Sur;28076034;EEI-CN;TREBOL (PROGRAMA DE CASA DE NIÑOS);Calle Asturias, 89 ;Pinto;-;28320;916920401;-;Público;
Madrid-Sur;28075273;EEI-CN;TRIANGULO (PROGRAMA DE CASA DE NIÑOS);Calle Córdoba, 15 ;Pinto;-;28320;-;-;Público;
Madrid-Este;28047733;EEI-CN;TUCAN;Avenida Reyes Católicos, 24 ;Alcalá de Henares;-;28802;918827463;918827463;Público;
Madrid-Este;28064743;EEI-CN;VALDELAGUNA;Calle De Los Colegios, 2 ;Valdelaguna;-;28391;918937451;-;Público;
